app,owner,branch,containers
app-freesurfer,brainlife,master,docker://brainlife/freesurfer:7.3.2
app-freesurfer,brainlife,1.1,docker://brainlife/freesurfer:6.0.0
app-freesurfer,brainlife,1.2,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.3,docker://brainlife/freesurfer_on_mcr:6.0.2
app-freesurfer,brainlife,1.3,docker://brainlife/freesurfer:6.0.0
app-freesurfer,brainlife,1.3,docker://brainlife/docker-pythonvtk
app-freesurfer,brainlife,1.4,docker://brainlife/freesurfer_on_mcr:6.0.2
app-freesurfer,brainlife,1.5,docker://brainlife/freesurfer_on_mcr:6.0.2
app-freesurfer,brainlife,1.6,docker://brainlife/freesurfer_on_mcr:6.0.2
app-freesurfer,brainlife,1.7,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.7,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.7,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,1.8,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.8,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.8,docker://brainlife/freesurfer:7.0.0
app-freesurfer,brainlife,1.8,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,1.9,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.9,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.9,docker://brainlife/freesurfer:7.0.0
app-freesurfer,brainlife,1.9,docker://brainlife/freesurfer:7.1.0
app-freesurfer,brainlife,1.9,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,1.10,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.10,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.10,docker://brainlife/freesurfer:7.0.0
app-freesurfer,brainlife,1.10,docker://brainlife/freesurfer:7.1.0
app-freesurfer,brainlife,1.10,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,1.11,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.11,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.11,docker://brainlife/freesurfer:7.0.0
app-freesurfer,brainlife,1.11,docker://brainlife/freesurfer:7.1.0
app-freesurfer,brainlife,1.11,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,1.12,docker://brainlife/freesurfer_on_mcr:6.0.0
app-freesurfer,brainlife,1.12,docker://brainlife/freesurfer:6.0.1
app-freesurfer,brainlife,1.12,docker://brainlife/freesurfer:7.0.0
app-freesurfer,brainlife,1.12,docker://brainlife/freesurfer:7.1.0
app-freesurfer,brainlife,1.12,docker://brainlife/freesurfer:dev
app-freesurfer,brainlife,7.1.1-1,docker://brainlife/freesurfer:7.1.1
app-freesurfer,brainlife,7.1.1,docker://brainlife/freesurfer:7.1.1
app-freesurfer,brainlife,7.3.2,docker://brainlife/freesurfer:7.3.2
app-multiAtlasTT,faskowit,master,docker://faskowit/app-multiatlastt:0.0.8
app-multiAtlasTT,faskowit,0.0.1,docker://faskowit/app-multiatlastt:0.0.2
app-multiAtlasTT,faskowit,0.0.2,docker://faskowit/app-multiatlastt
app-multiAtlasTT,faskowit,0.0.3,docker://faskowit/app-multiatlastt:0.0.2
app-multiAtlasTT,faskowit,0.0.4,docker://faskowit/app-multiatlastt:0.0.2
app-multiAtlasTT,faskowit,0.0.5,docker://faskowit/app-multiatlastt:0.0.5
app-multiAtlasTT,faskowit,0.0.6,docker://faskowit/app-multiatlastt:0.0.5
app-multiAtlasTT,faskowit,0.0.7,docker://faskowit/app-multiatlastt:0.0.5
app-multiAtlasTT,faskowit,0.0.8,docker://faskowit/app-multiatlastt:0.0.8
app-multiAtlasTT,faskowit,0.0.9,docker://faskowit/app-multiatlastt:0.0.8
app-freesurfer-stats,brainlife,master,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,freesurfer5-v1.1,docker://brainlife/freesurfer-mini:6.0.1
app-freesurfer-stats,brainlife,freesurfer5-v1.1,docker://brainlife/mcr:r2019a
app-freesurfer-stats,brainlife,freesurfer5-v1.1,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,freesurfer-stats-diffusion-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,freesurfer-stats-diffusion-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,freesurfer-stats-diffusion-v1.0,docker://brainlife/fsl:5.0.9
app-freesurfer-stats,brainlife,outlier-coords-v1.0,docker://brainlife/freesurfer-mini:6.0.1
app-freesurfer-stats,brainlife,outlier-coords-v1.0,docker://brainlife/mcr:r2019a
app-freesurfer-stats,brainlife,outlier-coords-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-surface-v1.0,docker://brainlife/freesufer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-surface-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,parc-stats-v1.0,docker://brainlife/mcr:2019a
app-freesurfer-stats,brainlife,parc-stats-v1.1,docker://brainlife/mcr:2019a
app-freesurfer-stats,brainlife,parc-stats-v1.1,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-v1.1,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/mcr:2019a
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/mcr:2019a
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/fsl:5.0.9
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/mcr:2019a
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/fsl:5.0.9
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,updated-parc-stats-surface-v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,updated-parc-stats-surface-v1.0,docker://brainlife/freesurfer:6.0.0
app-freesurfer-stats,brainlife,v1.0,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/freesurfer-mini:6.0.1
